1.2.1	6.010	0.740
1.2.2	6.000	0.740
1.2.3	5.990	0.740
1.2.4	5.979	0.740
1.2.5	5.969	0.740
1.2.6	5.959	0.740
1.2.7	5.949	0.740
1.2.8	5.938	0.740
1.2.9	5.928	0.740
1.2.10	5.918	0.740
1.2.11	5.907	0.740
1.2.12	5.896	0.740
1.2.13	5.886	0.740
1.2.14	5.875	0.740
1.2.15	5.865	0.740
1.2.16	5.854	0.740
1.2.17	5.844	0.740
1.2.18	5.833	0.740
1.2.19	5.823	0.740
1.2.20	5.812	0.740
1.2.21	5.802	0.740
1.2.22	5.791	0.740
1.2.23	5.781	0.740
1.2.24	5.770	0.740
1.2.25	5.759	0.740
1.2.26	5.748	0.740
1.2.27	5.737	0.740
1.2.28	5.727	0.740
1.2.29	5.717	0.740
1.2.30	5.707	0.740
1.2.31	5.696	0.740
1.2.32	5.685	0.740
1.2.33	5.675	0.740
1.2.34	5.664	0.740
1.2.35	5.653	0.740
1.2.36	5.641	0.740
1.2.37	5.630	0.740
1.2.38	5.618	0.740
1.2.39	5.607	0.740
1.2.40	5.597	0.740
1.2.41	5.587	0.740
1.2.42	5.576	0.740
1.2.43	5.566	0.740
1.2.44	5.555	0.740
1.2.45	5.545	0.740
1.2.46	5.534	0.740
1.2.47	5.523	0.740
1.2.48	5.512	0.740
1.2.49	5.501	0.740
1.2.50	5.490	0.740
1.2.51	5.479	0.740
1.2.52	5.468	0.740
1.2.53	5.457	0.740
1.2.54	5.445	0.740
1.2.55	5.434	0.740
1.2.56	5.422	0.740
1.2.57	5.410	0.740
1.2.58	5.399	0.740
1.2.59	5.387	0.740
1.2.60	5.375	0.740
1.2.61	5.365	0.740
1.2.62	5.355	0.740
1.2.63	5.345	0.740
1.2.64	5.334	0.740
1.2.65	5.324	0.740
1.2.66	5.314	0.740
1.2.67	5.304	0.740
1.2.68	5.293	0.740
1.2.69	5.283	0.740
1.2.70	5.272	0.740
1.2.71	5.262	0.740
1.2.72	5.251	0.740
1.2.73	5.240	0.740
1.2.74	5.230	0.740
1.2.75	5.219	0.740
1.2.76	5.208	0.740
1.2.77	5.197	0.740
1.2.78	5.186	0.740
1.2.79	5.175	0.740
1.2.80	5.164	0.740
1.2.81	5.153	0.740
1.2.82	5.142	0.740
1.2.83	5.131	0.740
1.2.84	5.120	0.740
1.2.85	5.109	0.740
1.2.86	5.098	0.740
1.2.87	5.086	0.740
1.2.88	5.075	0.740
1.2.89	5.064	0.740
1.2.90	5.052	0.740
1.2.91	5.041	0.740
1.2.92	5.029	0.740
1.2.93	5.018	0.740
1.2.94	5.006	0.740
1.2.95	4.994	0.740
1.2.96	4.983	0.740
1.2.97	4.971	0.740
1.2.98	4.959	0.740
1.2.99	4.947	0.740
1.2.100	4.936	0.740
1.2.101	4.924	0.740
1.2.102	4.912	0.740
1.2.103	4.900	0.740
1.2.104	4.888	0.740
1.2.105	4.876	0.740
1.2.106	4.864	0.740
1.2.107	4.852	0.740
1.2.108	4.840	0.740
1.2.109	4.828	0.740
1.2.110	4.816	0.740
1.2.111	4.803	0.740
1.2.112	4.791	0.740
1.2.113	4.779	0.740
1.2.114	4.767	0.740
1.2.115	4.754	0.740
1.2.116	4.742	0.740
1.2.117	4.730	0.740
1.2.118	4.717	0.740
1.2.119	4.705	0.740
1.2.120	4.692	0.740
1.2.121	4.680	0.740
1.2.122	4.668	0.740
1.2.123	4.658	0.740
1.2.124	4.647	0.740
1.2.125	4.637	0.740
1.2.126	4.627	0.740
1.2.127	4.617	0.740
1.2.128	4.607	0.740
1.2.129	4.597	0.740
1.2.130	4.587	0.740
1.2.131	4.577	0.740
1.2.132	4.567	0.740
1.2.133	4.557	0.740
1.2.134	4.547	0.740
1.2.135	4.536	0.740
1.2.136	4.526	0.740
1.2.137	4.516	0.740
1.2.138	4.506	0.740
1.2.139	4.496	0.740
1.2.140	4.485	0.740
1.2.141	4.475	0.740
1.2.142	4.465	0.740
1.2.143	4.455	0.740
1.2.144	4.444	0.740
1.2.145	4.434	0.740
1.2.146	4.424	0.740
1.2.147	4.414	0.740
1.2.148	4.403	0.740
1.2.149	4.393	0.740
1.2.150	4.383	0.740
1.2.151	4.372	0.740
1.2.152	4.362	0.740
